"   Data/Date
(YYYYMMDD)";"Ora
Hour";PUN;AUST;BRNN;BSP;CNOR;COAC;CORS;CSUD;FOGN;FRAN;GREC;NORD;PRGP;ROSN;SARD;SICI;SLOV;SUD;SVIZ
20130101;1;79,21;79,04;79,04;15,00;79,04;79,04;79,04;79,04;79,04;79,04;79,04;79,04;81,00;79,04;79,04;81,00;79,04;79,04;79,04
20130101;2;77,24;76,89;76,89;5,00;76,89;76,89;76,89;76,89;76,89;76,89;76,89;76,89;81,00;76,89;76,89;81,00;76,89;76,89;76,89
20130101;3;70,03;69,00;69,00;0,50;69,00;69,00;69,00;69,00;69,00;69,00;69,00;69,00;81,00;69,00;69,00;81,00;69,00;69,00;69,00
20130101;4;61,79;60,00;60,00;0,05;60,00;60,00;60,00;60,00;60,00;60,00;60,00;60,00;81,00;60,00;60,00;81,00;60,00;60,00;60,00
20130101;5;51,07;48,33;48,33;0,01;48,33;48,33;48,33;48,33;48,33;48,33;48,33;48,33;81,00;48,33;48,33;81,00;48,33;48,33;48,33
20130101;6;51,08;48,40;48,40;0,05;48,40;48,40;48,40;48,40;48,40;48,40;48,40;48,40;81,00;48,40;48,40;81,00;48,40;48,40;48,40
20130101;7;52,48;50,00;50,00;8,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;81,00;50,00;50,00;81,00;50,00;50,00;50,00
20130101;8;59,17;55,00;55,00;10,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;55,00;109,00;55,00;55,00;109,00;55,00;55,00;55,00
20130101;9;52,06;47,00;47,00;2,02;47,00;47,00;47,00;47,00;47,00;47,00;47,00;47,00;109,00;47,00;47,00;109,00;47,00;47,00;47,00
20130101;10;51,80;46,50;46,50;9,10;46,50;46,50;46,50;46,50;46,50;46,50;46,50;46,50;109,00;46,50;46,50;109,00;46,50;46,50;46,50
20130101;11;49,65;46,50;46,50;10,21;46,50;46,50;46,50;46,50;46,50;46,50;46,50;46,50;83,00;46,50;46,50;83,00;46,50;46,50;46,50
20130101;12;49,65;46,50;46,50;10,57;46,50;46,50;46,50;46,50;46,50;46,50;46,50;46,50;83,00;46,50;46,50;83,00;46,50;46,50;46,50
